Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
323,James Milner\2f90f6b8,eng ENG,MFDF,Liverpool,34,1986,11.9,3,0,0,20,13,0,17,16,14,0,0,0,141,25,14,64.1,Matches
324,Yerry Mina\6d5701f2,co COL,DF,Everton,25,1994,21.5,2,0,0,22,11,0,0,13,12,0,0,0,168,68,27,71.6,Matches
325,Takumi Minamino\f833a830,jp JPN,MFFW,Southampton,25,1995,7.9,1,0,0,7,13,1,7,8,2,0,0,0,62,4,11,26.7,Matches
326,Takumi Minamino\f833a830,jp JPN,MFFW,Liverpool,25,1995,3.3,0,0,0,6,4,1,3,0,3,0,0,0,21,3,2,60.0,Matches
327,Tyrone Mings\8397a50c,eng ENG,DF,Aston Villa,27,1993,35.5,6,1,1,22,22,3,2,38,18,0,0,1,370,109,35,75.7,Matches
328,Tyrick Mitchell\5cbd1eb0,eng ENG,DF,Crystal Palace,20,1999,19.0,1,0,0,9,11,0,22,30,29,0,1,0,123,16,13,55.2,Matches
329,Aleksandar Mitrović\3925dbd6,rs SRB,FW,Fulham,25,1994,15.6,3,0,0,23,28,3,8,3,9,0,1,0,55,68,76,47.2,Matches
330,Jakub Moder\f230bc30,pl POL,DFMF,Brighton,21,1999,7.2,0,0,0,14,6,2,13,8,8,0,0,0,47,6,12,33.3,Matches
331,Jayson Molumby\c908a1bc,ie IRL,MF,Brighton,20,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
332,Wesley Moraes\bfae110f,br BRA,MFFW,Aston Villa,23,1996,0.2,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0.0,Matches
333,Wes Morgan\80c31c97,jm JAM,DF,Leicester City,36,1984,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
334,Mason Mount\9674002f,eng ENG,MFFW,Chelsea,21,1999,32.1,2,0,0,62,51,4,65,36,44,2,0,0,244,21,52,28.8,Matches
335,Lucas Moura\2b622f01,br BRA,FWMF,Tottenham,27,1992,15.7,1,0,0,28,58,3,11,20,22,0,0,0,128,26,42,38.2,Matches
336,Lys Mousset\d9cfca3d,fr FRA,FWMF,Sheffield Utd,24,1996,3.3,0,0,0,8,2,5,0,0,0,0,0,0,12,1,20,4.8,Matches
337,João Moutinho\f5a00fa4,pt POR,MF,Wolves,33,1986,28.1,5,1,1,52,30,0,43,39,46,0,1,0,279,20,24,45.5,Matches
